tar
adduser
gzip
grep
cron
sed
update-passwd
apt
groff
man-db
find
xargs
cmp
diff
diff3
sdiff
logger
renice
script
scriptreplay
wall
scp
sftp
ssh
ssh-add
ssh-agent
ssh-argv0
ssh-copy-id
ssh-keygen
ssh-keyscan
slogin
shadowconfig
chage
chfn
chsh
expiry
gpasswd
passwd
chgpasswd
chpasswd
cppw
groupadd
groupdel
groupmod
grpck
grpconv
grpunconv
newusers
pwck
pwconv
pwunconv
useradd
userdel
usermod
vipw
cpgr
vigr
procps
kill
ps
sysctl
free
pgrep
pmap
pwdx
skill
slabtop
tload
top
uptime
vmstat
w.procps
watch
pkill
snice
login
su
faillog
lastlog
newgrp
nologin
sg
gpg
gpg-zip
gpgconf
gpgparsemail
gpgsplit
kbxutil
lspgpot
migrate-pubring-from-classic-gpg
watchgnupg
addgnupghome
applygnupgdefaults
findmnt
mount
umount
losetup
swapoff
swapon
