num_options
21
6
6
20
6
19
7
4
16
2
7
8
8
3
9
9
11
6
1
2
6
2
9
6
8
20
2
2
0
0
10
3
0
0
9
3
5
6
3
2
4
16
0
4
8
4
2
6
3
7
5
36
4
19
5
2
16
5
134
2
27
2
0
38
2
7
11
20
5
38
11
15
4
2
5
0
0
9
15
2
3
5
12
7
37
12
2
58
5
19
9
5
3
3
3
0
8
4
0
12
12
0
13
11
16
4
23
3
13
23
8
5
0
12
3
2
3
3
2
3
1
1
5
15
4
10
8
5
19
15
6
8
2
11
2
9
9
15
0
0
1
2
0
8
6
8
26
8
4
9
25
5
4
9
5
3
8
15
8
0
15
25
0
5
4
4
0
2
8
9
9
5
0
58
24
6
5
4
0
5
18
3
5
11
0
5
5
0
2
5
0
2
6
4
0
8
15
9
0
2
1
2
20
10
9
0
8
41
5
2
8
4
24
0
9
8
3
9
10
17
10
6
14
16
31
5
0
264
4
9
19
23
2
8
6
0
4
5
5
2
2
3
58
7
6
0
2
2
9
2
3
10
6
4
0
15
2
9
3
5
83
8
6
