dpkg
debianutils
libc6
perl-base
libgcc1
dash
sensible-utils
tar
zlib1g
libgdbm3
libacl1
libselinux1
coreutils
util-linux
lsb-base
libpcre3
debconf
adduser
gzip
grep
popularity-contest
cron
gpgv
libpopt0
logrotate
sed
base-passwd
apt
debian-archive-keyring
groff-base
libncurses5
bsdmainutils
man-db
findutils
diffutils
libbz2-1.0
bsdutils
base-files
bash
libpam-runtime
libbsd0
sysvinit-utils
libpam-modules
openssh-client
libattr1
passwd
libtinfo5
procps
libpipeline1
libgpg-error0
libncursesw5
openssl
login
libuuid1
libpam0g
libgssapi-krb5-2
netbase
rsyslog
libcap2
libkmod2
libblkid1
libc-bin
libdb5.3
libaudit1
openssh-server
gnupg
init-system-helpers
ucf
insserv
systemd
mount
libedit2
libsystemd0
mime-support
libgcrypt20
udev
systemd-sysv
libexpat1
sysv-rc
mlocate
python
kmod
libestr0
liblogging-stdlog0
python-minimal
dbus
ncurses-base
gnupg-agent
libglib2.0-0
libldap-2.4-2
libudev1
python2.7-minimal
libsqlite3-0
libcomerr2
libkrb5-3
exim4-base
libk5crypto3
exim4-daemon-light
ifupdown
iproute2
libxml2
perl
libaudit-common
libsasl2-2
libffi6
liblzma5
libdbus-1-3
kbd
libmnl0
libx11-6
hostname
libx11-data
exim4-config
libxcb1
libmount1
console-setup-linux
xkb-data
libelf1
python2.7
libpython2.7-minimal
python-support
libpolkit-gobject-1-0
ssl-cert
libio-socket-ip-perl
lsb-release
libwrap0
python3
libdevmapper1.02.1
libpython2.7-stdlib
libmagic1
e2fsprogs
libavahi-common3
libcups2
libpython3-stdlib
dh-python
libkeyutils1
libusb-1.0-0
anacron
libavahi-client3
libfreetype6
libfontconfig1
libxext6
libdbus-glib-1-2
libkrb5support0
acpid
dmsetup
libcap-ng0
libgudev-1.0-0
libpolkit-agent-1-0
libdebconfclient0
policykit-1
startpar
bind9-host
libpolkit-backend-1-0
libpython-stdlib
avahi-daemon
whiptail
at
file
libcairo2
libgdk-pixbuf2.0-0
libasound2
shared-mime-info
libice6
libtiff5
libavahi-core7
libjpeg62-turbo
libsasl2-modules-db
x11-common
initscripts
libatk1.0-0
liblcms2-2
libtext-charwidth-perl
libtext-wrapi18n-perl
x11-xkb-utils
libatk1.0-data
libxt6
console-setup
desktop-file-utils
keyboard-configuration
libnl-3-200
fontconfig
libxaw7
xz-utils
libpixman-1-0
cpp
python-gobject-2
apt-utils
libgdk-pixbuf2.0-common
fontconfig-config
less
libxrender1
libxcb-render0
libnl-genl-3-200
libtirpc1
sudo
xserver-common
libpam-systemd
libxcb-shm0
xserver-xorg-core
gvfs-common
gawk
alsa-utils
mawk
libltdl7
libcolord2
libcurl3-gnutls
libxkbfile1
libsamplerate0
libgtk-3-0
libdrm2
rpcbind
libxcomposite1
psmisc
libglib2.0-data
libgpm2
cpio
libpaper1
net-tools
libavahi-glib1
libcairo-gobject2
libgl1-mesa-glx
libexif12
python3-minimal
libglib2.0-bin
libgomp1
network-manager
nfs-common
libsane
libapr1
libfuse2
modemmanager
upower
libpango-1.0-0
libpangocairo-1.0-0
libjson-glib-1.0-0
libmtdev1
bc
libxau6
pulseaudio
libsoup2.4-1
dconf-service
x11-xserver-utils
libpangoft2-1.0-0
libgtk-3-common
libatk-bridge2.0-0
libavahi-common-data
powermgmt-base
libreoffice-common
vim-common
libgusb2
colord
librest-0.7-0
parted
libasound2-data
libaprutil1
libcupsimage2
ure
libcupsmime1
libreoffice-style-galaxy
apt-listchanges
libmtp-common
rtkit
dconf-gsettings-backend
liblzo2-2
fuse
wget
libcolorhug2
libcap2-bin
libreoffice-core
libreoffice-base-core
libreoffice-writer
libfftw3-single3
xdg-user-dirs
iw
libnotify4
libgmp10
udisks2
libatasmart4
crda
libudisks2-0
fonts-opensymbol
isc-dhcp-client
wireless-regdb
libwayland-client0
libmm-glib0
uno-libs3
libreoffice-math
libreoffice-calc
libapparmor1
libx11-xcb1
libreoffice-draw
libreoffice-impress
libjbig0
libepoxy0
libwayland-cursor0
libevdev2
libupower-glib3
libdconf1
libqmi-proxy
libmbim-glib4
libmbim-proxy
libwayland-egl1-mesa
python3-apt
gvfs-daemons
libjson-glib-1.0-common
xserver-xorg-video-fbdev
xserver-xorg-video-vesa
libxtst6
libreoffice-base
libmtp9
libassuan0
libtdb1
liblua5.2-0
python-apt
libvorbisfile3
libmtp-runtime
pulseaudio-utils
apache2-bin
libaprutil1-ldap
libaprutil1-dbd-sqlite3
cups-daemon
libpcsclite1
libcupsfilters1
libgirepository-1.0-1
bluez
packagekit
ncurses-bin
dbus-x11
libp11-kit0
libthai0
libbluetooth3
libgck-1-0
acl
libcrack2
cracklib-runtime
fonts-dejavu-core
libgd3
gir1.2-glib-2.0
libsensors4
gnome-keyring
wpasupplicant
libglapi-mesa
libssh2-1
gcr
libgcr-base-3-1
gettext-base
gir1.2-gtk-3.0
hdparm
libsecret-1-0
libxklavier16
python3-gi
unzip
gir1.2-pango-1.0
libpci3
libieee1284-3
cups-browsed
libarchive13
libgphoto2-6
gsettings-desktop-schemas
libgtk2.0-0
xbrlapi
libstartup-notification0
libidn11
python-imaging
libsane-common
libgcr-ui-3-1
libcanberra0
libaccountsservice0
gvfs-backends
php5-common
libsecret-common
libbrlapi0.6
libcanberra-gtk3-0
accountsservice
libc6-dev
x11-utils
p11-kit
gir1.2-gdkpixbuf-2.0
libc-dev-bin
libgcr-3-common
libatspi2.0-0
libflac8
liblockfile1
libxdmcp6
libfontenc1
php5-cli
gvfs
iputils-ping
libxpm4
libegl1-mesa
initramfs-tools
rsync
libnfnetlink0
libhpmud0
iptables
libxcb-shape0
libsane-hpaio
libgpgme11
python3-dbus
linux-base
perl-modules
libapt-pkg5.0
libxcb-dri2-0
libnspr4
linux-libc-dev
libogg0
xserver-xorg-input-wacom
libssl1.1
gconf-service
python-pkg-resources
libxmu6
xdg-utils
cups
klibc-utils
libklibc
git
busybox
librtmp1
libgconf-2-4
usbmuxd
libssl1.0.2
libgnutls30
python-gi
tzdata
libpam-gnome-keyring
libvorbis0a
libpulse0
libgtk2.0-common
libprocps6
libcupsppdc1
gvfs-libs
libcupscgi1
libexempi3
minissdpd
libxcb-sync1
libgstreamer1.0-0
firefox-esr
liblockfile-bin
libreadline7
apache2-utils
samba-common
libxcb-dri3-0
liblocale-gettext-perl
system-config-printer-udev
glib-networking
libperl5.24
gir1.2-freedesktop
usb-modeswitch-data
libxfixes3
libpulse-mainloop-glib0
apache2
libxrandr2
gconf2-common
cups-filters
apache2-data
glib-networking-services
glib-networking-common
libgeocode-glib0
libpython3.5-minimal
python-dbus
python3.5
gnome-settings-daemon
libgstreamer-plugins-base1.0-0
perl-modules-5.24
python3.5-minimal
libfastjson4
liblognorm5
libpython3.5-stdlib
libmpdec2
liborc-0.4-0
libenchant1c2a
samba-common-bin
libtelepathy-glib0
libpaper-utils
libnautilus-extension1a
libgbm1
grub-common
bzip2
libpcap0.8
libgail-3-0
install-info
lvm2
sysvinit
libaa1
ntfs-3g
libcroco3
grub2-common
libpoppler-glib8
libdevmapper-event1.02.1
libjansson4
gir1.2-polkit-1.0
libgxps2
libgpod4
libclutter-1.0-0
gconf2
liburi-perl
libicu57
libapt-inst2.0
libgweather-3-6
libsnmp30
dc
libasyncns0
libstdc++6
xserver-xorg-input-evdev
libdatrie1
ca-certificates
gvfs-fuse
libthai-data
libnettle6
libgweather-common
libpng16-16
network-manager-gnome
gir1.2-soup-2.4
libwayland-server0
libfontembed1
libsgutils2-2
gstreamer1.0-plugins-base
evolution-data-server
libapache2-mod-php5
libdjvulibre21
libgpod-common
libnm-util2
libnm-glib4
python-samba
libwacom2
mutt
gir1.2-gdesktopenums-3.0
libxi6
gir1.2-accountsservice-1.0
gir1.2-caribou-1.0
libevdocument3-4
lm-sensors
gir1.2-networkmanager-1.0
gir1.2-upowerglib-1.0
imagemagick-6.q16
policykit-1-gnome
python-six
gir1.2-notify-0.7
ppp
libtokyocabinet9
gdm3
hplip
printer-driver-hpcups
libxcb-xfixes0
libtotem-plparser18
gnome-backgrounds
gnome-session-bin
hplip-data
libkpathsea6
libxshmfence1
info
libxcb-present0
printer-driver-foo2zjs
media-player-info
libgee-0.8-2
gstreamer1.0-plugins-good
gir1.2-gnomedesktop-3.0
gnupg2
libpsl5
libgphoto2-port12
libinput-bin
libwacom-common
libevview3-3
unattended-upgrades
libslang2
libbind9-140
gir1.2-packagekitglib-1.0
libharfbuzz0b
gnome-shell
libidn2-0
libgsf-1-114
libvte-2.91-0
php5-gd
gir1.2-atspi-2.0
telepathy-mission-control-5
libcaribou0
libmission-control-plugins0
libcaribou-common
libcaca0
libxcursor1
printer-driver-foo2zjs-common
screen
gjs
libpeas-1.0-0
gir1.2-telepathyglib-0.12
gir1.2-telepathylogger-0.2
libgnome-bluetooth13
gir1.2-gnomebluetooth-1.0
gir1.2-gcr-3
gnome-shell-common
geoclue-2.0
binutils
tracker
gir1.2-atk-1.0
gir1.2-mutter-3.0
libgsf-1-common
liblcms2-utils
libplist3
libnuma1
libpciaccess0
bluez-obexd
libtasn1-6
libimobiledevice6
libenca0
system-config-printer
libtracker-sparql-1.0-0
gir1.2-gck-1
