cat
chgrp
chmod
chown
cp
date
dd
df
dir
echo
false
ln
ls
mkdir
mknod
mktemp
mv
pwd
readlink
rm
rmdir
sleep
stty
sync
touch
true
uname
vdir
[
arch
b2sum
base32
base64
basename
chcon
cksum
comm
csplit
cut
dircolors
dirname
du
env
expand
expr
factor
fmt
fold
groups
head
hostid
id
install
join
link
logname
md5sum
mkfifo
nice
nl
nohup
nproc
numfmt
od
paste
pathchk
pinky
pr
printenv
printf
ptx
realpath
runcon
seq
sha1sum
sha224sum
sha256sum
sha384sum
sha512sum
shred
shuf
sort
split
stat
stdbuf
sum
tac
tail
tee
test
timeout
tr
truncate
tsort
tty
unexpand
uniq
unlink
users
wc
who
whoami
yes
chroot
md5sum.textutils
bsd-from
bsd-write
calendar
col
colcrt
colrm
column
hexdump
look
lorder
ncal
printerbanner
ul
cal
hd
tar
adduser
gzip
grep
cron
sed
update-passwd
apt
groff
man-db
find
xargs
cmp
diff
diff3
sdiff
logger
renice
script
scriptreplay
wall
scp
sftp
ssh
ssh-add
ssh-agent
ssh-argv0
ssh-copy-id
ssh-keygen
ssh-keyscan
slogin
shadowconfig
chage
chfn
chsh
expiry
gpasswd
passwd
chgpasswd
chpasswd
cppw
groupadd
groupdel
groupmod
grpck
grpconv
grpunconv
newusers
pwck
pwconv
pwunconv
useradd
userdel
usermod
vipw
cpgr
vigr
procps
kill
ps
sysctl
free
pgrep
pmap
pwdx
skill
slabtop
tload
top
uptime
vmstat
w.procps
watch
pkill
snice
login
su
faillog
lastlog
newgrp
nologin
sg
findmnt
mount
umount
losetup
swapoff
swapon
dmesg
lsblk
more
mountpoint
tailf
wdctl
agetty
blkdiscard
blkid
blockdev
cfdisk
chcpu
ctrlaltdel
fdisk
findfs
fsck
fsck.cramfs
fsck.minix
fsfreeze
fstrim
hwclock
isosize
mkfs
mkfs.bfs
mkfs.cramfs
mkfs.minix
mkswap
pivot_root
raw
runuser
sfdisk
sulogin
swaplabel
switch_root
wipefs
zramctl
addpart
chrt
delpart
fallocate
flock
getopt
ionice
ipcmk
ipcrm
ipcs
last
line
lscpu
lsipc
lslocks
lslogins
lsns
mcookie
mesg
namei
nsenter
partx
pg
prlimit
rename.ul
resizepart
rev
setarch
setsid
setterm
taskset
unshare
utmpdump
whereis
fdformat
ldattach
readprofile
rtcwake
tunelp
getty
i386
lastb
linux32
linux64
x86_64
