dmesg
lsblk
more
mountpoint
tailf
wdctl
agetty
blkdiscard
blkid
blockdev
cfdisk
chcpu
ctrlaltdel
fdisk
findfs
fsck
fsck.cramfs
fsck.minix
fsfreeze
fstrim
hwclock
isosize
mkfs
mkfs.bfs
mkfs.cramfs
mkfs.minix
mkswap
pivot_root
raw
runuser
sfdisk
sulogin
swaplabel
switch_root
wipefs
zramctl
addpart
chrt
delpart
fallocate
flock
getopt
ionice
ipcmk
ipcrm
ipcs
last
line
lscpu
lsipc
lslocks
lslogins
lsns
mcookie
mesg
namei
nsenter
partx
pg
prlimit
rename.ul
resizepart
rev
setarch
setsid
setterm
taskset
unshare
utmpdump
whereis
fdformat
ldattach
readprofile
rtcwake
tunelp
getty
i386
lastb
linux32
linux64
x86_64
