Occupation7,,,,
Civilian Occupations,,,,
Air transportation ,28,928,6.0,
Water transportation ,16,165,19.4,
Truck transportation ,389,"3,587",21.6,
Transit and ground passenger transportation,59,"1,124",10.5,
Bus service and urban transit ,15,565,5.3,
Taxi and limousine service ,44,559,15.7,
Support activities for transportation ,79,"1,237",12.8,
Couriers and messengers,29,"1,166",5.0,
Warehousing and storage ,16,624,5.1,
Utilities,16,"1,849",1.7,
Information ,33,"5,874",1.1,
Financial activities,108,"18,075",1.2,
Finance and insurance,33,"13,063",0.5,
Real estate and rental and leasing,75,"5,005",3.0,
Real estate ,52,"4,182",2.4,
Rental and leasing services,23,832,5.5,
Professional and business services,422,"27,221",3.1,
"Professional, scientific, and technical services",85,"17,203",1.0,
"     Architectural, engineering and related services ",30,"2,792",2.1,
"Management, administrative, and waste services",337,"10,030",6.7,
Employment services ,24,"1,314",3.7,
Investigation and security services ,37,"1,440",5.1,
Services to buildings and dwellings (except landscaping services) ,37,"2,082",3.6,
Landscaping services,168,"2,008",16.6,
Waste management and remediation services ,46,724,12.7,
Educational and health services,150,"36,879",0.8,
Educational services,27,"6,676",0.7,
Health care and social assistance,123,"30,284",0.8,
Ambulatory health care services,54,"11,323",1.0,
Hospitals ,30,"10,039",0.5,
Nursing and residential care facilities,24,"4,344",1.1,
Leisure and hospitality,231,"19,857",2.2,
"Arts, entertainment, and recreation",80,"4,248",3.6,
"Performing arts, spectator sports, and related industries",42,"1,255",6.5,
"Amusement, gambling, and recreation industries (except bowling centers)  ",36,"2,676",2.5,
Accommodation and food services,151,"15,634",1.9,
Accommodation ,32,"2,527",2.5,
Traveler accommodation ,27,"2,366",2.3,
Food services and drinking places,119,"13,101",1.8,
Restaurants and other food services ,87,"12,702",1.3,
Drinking places (alcoholic beverages),32,401,15.5,
Other services (except public administration),173,"11,927",2.8,
Repair and maintenance,112,"3,845",5.8,
Automotive repair and maintenance (except car washes),77,"2,393",6.4,
Personal and laundry services,29,"3,718",1.5,
"Religious, grantmaking, civic, professional, and similar organizations",29,"3,307",1.5,
Government10,461,"37,913",1.9,
Federal government,122,"6,883",1.4,
State government,75,"11,214",1.3,
Local government,260,"19,840",2.4,
