device,latency<br>(ms),year
google pixel,140,2016,https://www.amazon.com/gp/product/B0731KJVGG/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B0731KJVGG&linkId=a52d46d36b6136641937b82c5f99fa1d
samsung galaxy avant,150,2014,https://www.amazon.com/gp/product/B00N3FSWG8/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B00N3FSWG8&linkId=a4df2be4f14002eed6fdbd267b8dca91
asus zenfone3 max,150,2016,https://www.amazon.com/gp/product/B01LZ8516T/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B01LZ8516T&linkId=16070e26fe5b1eee184b3fcfa6a7f373
sony xperia z5 compact,150,2015,https://www.amazon.com/gp/product/B01LACBMV2/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B01LACBMV2&linkId=6a38fa7701b76f17fc1ba183e2bac551
htc one m4,160,2013,https://www.amazon.com/gp/product/B00F618DXE/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B00F618DXE&linkId=481f35c95f57b730ab417f680ff1cdf3
galaxy s4 mini,170,2013,https://www.amazon.com/gp/product/B00UZ7QJ6W/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B00UZ7QJ6W&linkId=a37479092aca4085fc7bee582232fbfe
lg k4,180,2016,https://www.amazon.com/gp/product/B072K1BY62/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B072K1BY62&linkId=7a9dc6d3a3400a24cba9141b09d85f32
packet,190,
htc rezound,240,2011,https://www.amazon.com/gp/product/B0073YBGCC/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B0073YBGCC&linkId=75785e57c1c5a2318dcd95a6178af60c
palm pilot 1000,490,1996,https://en.wikipedia.org/wiki/Pilot_1000
kindle oasis 2,570,2017,https://en.wikipedia.org/wiki/Amazon_Kindle,https://www.amazon.com/gp/product/B06XCWLL12/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B06XCWLL12&linkId=e556ae4b2efaaac3901a42dfd62606c0
kindle paperwhite 3,630,2015,https://en.wikipedia.org/wiki/Amazon_Kindle
kindle 4,860,2011,https://en.wikipedia.org/wiki/Amazon_Kindle
