bytes,builtin,builtin unrolled,builtin errata,builtin manual,builtin movdq,builtin movdq unrolled,builtin movdq manual,SSSE3
93184, 42533, 20897, 18532, 11835, 20835, 19954, 15626, 24162
94208, 43000, 21122, 18768, 12737, 21063, 20158, 15797, 23800
95232, 43278, 21358, 18984, 12560, 21314, 20386, 15963, 24697
96256, 43934, 21583, 19179, 12687, 21695, 20610, 16134, 24312
97280, 44407, 21808, 19366, 13059, 21923, 20829, 16303, 25226
98304, 44863, 22044, 19567, 12619, 22006, 21048, 16480, 25504
99328, 45330, 22269, 19768, 13153, 22251, 21296, 16672, 25095
100352, 45800, 22494, 19936, 12882, 22473, 21491, 16817, 25341
101376, 46261, 22730, 20131, 12988, 22709, 21713, 17021, 25601
102400, 46731, 22955, 20326, 13145, 23079, 21932, 17157, 25861
103424, 47012, 23191, 20545, 13305, 23191, 22133, 17334, 26112
104448, 47674, 23416, 20722, 14156, 23543, 22337, 17497, 26361
105472, 48124, 23641, 20992, 13541, 23676, 22585, 17666, 26659
106496, 48585, 23877, 21125, 14428, 24001, 22783, 17840, 27620
107520, 48842, 24102, 21403, 13831, 24155, 23020, 18020, 27147
108544, 49531, 24327, 21518, 14310, 24448, 23218, 18180, 27416
109568, 50007, 24563, 21793, 14053, 24622, 23460, 18346, 27662
110592, 50462, 24788, 21947, 14195, 24841, 23664, 18523, 27925
111616, 50929, 25024, 22165, 14700, 25137, 23892, 18700, 28182
112640, 51394, 25249, 22417, 14490, 25350, 24099, 18863, 28442
113664, 51870, 25474, 22606, 15030, 25592, 24318, 19040, 28705
114688, 52334, 25710, 22816, 14319, 25772, 24551, 19212, 28951
115712, 52804, 25935, 23011, 15670, 26038, 24758, 19386, 29226
116736, 53271, 26160, 23206, 14981, 26225, 24986, 19558, 29483
117760, 53741, 26396, 23389, 15143, 26482, 25196, 19732, 29743
118784, 54208, 26621, 23611, 15247, 26712, 25432, 19901, 30796
119808, 54681, 26846, 23815, 15046, 26955, 25636, 20081, 30266
120832, 55134, 27082, 24025, 15924, 27168, 25846, 20244, 30503
121856, 55607, 27307, 24220, 16078, 27419, 26071, 20421, 30775
122880, 56068, 27543, 24433, 15759, 27640, 26290, 20590, 31041
123904, 56541, 27768, 24643, 16323, 27910, 26506, 20764, 31298
124928, 57002, 27993, 24847, 16456, 28087, 26733, 20944, 31552
125952, 57085, 28229, 25036, 17054, 28371, 26943, 21110, 31804
126976, 57939, 28454, 25255, 16285, 28563, 27162, 21284, 32064
128000, 58415, 28679, 25468, 17321, 28797, 27384, 21450, 32330
129024, 58865, 28915, 25672, 16551, 29063, 27591, 21610, 33447
130048, 59341, 29140, 25878, 16675, 29261, 27827, 21793, 32850
131072, 59802, 29376, 26092, 16849, 29533, 28034, 21967, 34003
132096, 60278, 29601, 26272, 16938, 29746, 28253, 22130, 34241
133120, 60739, 29826, 26470, 17538, 29997, 28460, 22307, 34507
134144, 61209, 30062, 26689, 17190, 30216, 28699, 22473, 34758
135168, 61676, 30287, 26887, 18295, 30435, 28903, 22647, 34145
136192, 62135, 30512, 27076, 17915, 30677, 29128, 22810, 34391
137216, 62134, 30748, 27292, 18585, 30923, 29350, 22990, 34645
