bytes,builtin unrolled,builtin manual,builtin movdq manual,SSSE3
172032, 39579, 22014, 29681, 43532
173056, 38766, 23108, 29016, 43780
174080, 41158, 28523, 30859, 44038
175104, 41399, 25333, 31029, 44300
176128, 42837, 26221, 32014, 45756
177152, 40739, 24682, 30512, 46028
178176, 42129, 29129, 31583, 46285
179200, 41223, 25214, 30890, 46488
180224, 41440, 25103, 31065, 46811
181248, 42852, 25954, 32049, 47086
182272, 43093, 26118, 32214, 47361
183296, 44553, 27282, 32467, 48873
184320, 44807, 31192, 33598, 49167
185344, 45061, 27227, 33752, 49454
186368, 45315, 27729, 33927, 48422
187392, 45569, 27112, 34151, 50008
188416, 44546, 26990, 33341, 48960
189440, 43568, 26369, 32640, 49223
190464, 45028, 27812, 33765, 50802
191488, 45269, 27685, 33910, 49706
192512, 45510, 27546, 34019, 48697
193536, 43343, 26452, 32460, 48963
194560, 45999, 27404, 34448, 49215
195584, 44970, 26829, 33679, 49475
196608, 45212, 27602, 33894, 49702
197632, 44265, 26780, 33081, 49974
198656, 45696, 27668, 34214, 50267
199680, 44715, 26650, 33483, 50459
200704, 46155, 28436, 34505, 52121
201728, 47686, 29172, 35697, 50997
202752, 47927, 29240, 35892, 51234
203776, 45637, 27910, 34180, 51565
204800, 48416, 29327, 36263, 51754
205824, 47340, 28651, 35417, 52082
206848, 48898, 29620, 36652, 52304
207872, 47799, 31138, 35819, 53974
208896, 50782, 35070, 38007, 54288
209920, 49621, 30062, 37162, 54554
210944, 48500, 29391, 36327, 54784
211968, 51541, 34396, 38606, 55065
212992, 48984, 31966, 36641, 55261
214016, 52018, 28917, 38957, 55564
215040, 50833, 32207, 38046, 55850
216064, 51074, 28365, 38244, 56162
217088, 49927, 32281, 37345, 56328
218112, 51556, 33568, 39733, 56597
219136, 51797, 33079, 38797, 58436
220160, 52038, 32263, 38985, 57132
221184, 52286, 31483, 38138, 58980
222208, 54019, 34333, 40374, 59249
223232, 54273, 31573, 40658, 57908
224256, 53009, 34124, 39690, 56659
225280, 53250, 33731, 39851, 56916
226304, 50675, 33914, 37938, 57168
227328, 53732, 34337, 40228, 57428
228352, 51136, 32489, 38260, 57688
229376, 52734, 34115, 39467, 57948
230400, 52973, 29452, 39675, 58276
231424, 54696, 35122, 40945, 58466
232448, 53457, 34166, 40044, 58720
233472, 55185, 34723, 41307, 58980
234496, 52508, 30541, 39254, 59237
235520, 55667, 32297, 41585, 59503
236544, 54400, 32782, 40731, 61366
237568, 56156, 33547, 40900, 61647
238592, 57990, 35735, 43396, 63623
239616, 58244, 32408, 43596, 63883
240640, 56879, 37026, 42602, 62427
241664, 57120, 35082, 42689, 62811
242688, 59006, 33662, 44115, 62953
243712, 59229, 38957, 44384, 63197
244736, 59483, 34592, 44544, 63512
245760, 58087, 37777, 44678, 63772
246784, 58325, 35431, 43659, 63995
247808, 58566, 33997, 43940, 66062
248832, 58810, 36219, 44042, 64561
249856, 59055, 34315, 44231, 66596
250880, 59296, 35301, 44373, 66868
251904, 59537, 37570, 44497, 63619
252928, 59778, 38605, 44753, 63879
253952, 60019, 33937, 43674, 64133
254976, 57085, 36900, 42748, 64399
256000, 58848, 34895, 44003, 64651
257024, 62469, 40444, 46726, 64928
258048, 59332, 38252, 44381, 65183
259072, 58007, 34541, 43337, 65446
260096, 61472, 37885, 45990, 65697
261120, 58468, 37045, 43698, 65963
262144, 60275, 39978, 45134, 68033
263168, 63962, 40026, 46605, 68332
264192, 62436, 35746, 46787, 68589
265216, 64470, 38065, 48298, 68834
266240, 62918, 40886, 47133, 69088
267264, 63159, 39978, 47232, 69351
268288, 63400, 37026, 47430, 69595
269312, 65455, 40144, 46373, 69867
270336, 63889, 40567, 47854, 72095
271360, 64130, 40621, 47965, 70469
272384, 66217, 41960, 49564, 70693
273408, 66440, 38742, 49800, 70953
274432, 64853, 37539, 47280, 69425
275456, 63321, 36983, 50196, 69573
276480, 61898, 35543, 46343, 69866
277504, 62123, 39608, 46518, 70126
278528, 64025, 39250, 47987, 70392
279552, 64264, 39887, 48111, 70646
280576, 62809, 37539, 47035, 70912
281600, 64748, 40818, 48470, 71175
282624, 66788, 41996, 50045, 71424
283648, 63506, 41554, 47511, 71684
284672, 65449, 39274, 49026, 73905
285696, 69426, 43955, 51994, 74201
286720, 67752, 40271, 50812, 74434
287744, 69934, 43916, 52436, 74688
288768, 70188, 45642, 52559, 75084
289792, 68482, 43319, 51377, 75296
290816, 68723, 43783, 51566, 75519
291840, 68964, 43937, 51686, 75770
292864, 71173, 44248, 53351, 76045
293888, 69453, 42231, 52060, 76320
294912, 69694, 40800, 52286, 76619
295936, 69935, 41177, 52425, 74824
296960, 70176, 44147, 52589, 75108
297984, 66711, 41578, 50010, 75347
299008, 72666, 47141, 54445, 75619
300032, 67161, 43053, 50346, 75882
301056, 71140, 42500, 53356, 76137
302080, 69438, 41939, 52160, 76423
303104, 67858, 42261, 50991, 76689
304128, 71870, 43029, 53906, 76941
305152, 74159, 46557, 55603, 77198
306176, 70381, 43033, 52858, 79542
307200, 72593, 42009, 54489, 79786
308224, 70865, 41462, 53161, 80095
309248, 73075, 42139, 54805, 80318
310272, 75401, 46243, 56694, 82852
311296, 73560, 46026, 55176, 83146
312320, 75906, 43489, 55398, 81180
313344, 74042, 44363, 55624, 81449
314368, 76383, 50045, 57350, 81793
315392, 76637, 49356, 57585, 79799
316416, 70827, 44877, 53138, 80092
317440, 72968, 42840, 54760, 80334
318464, 73210, 43091, 55026, 80586
319488, 73452, 46781, 55201, 80885
320512, 77876, 47343, 58423, 81103
321536, 75974, 44380, 57052, 81399
322560, 74153, 47240, 55642, 81650
323584, 72435, 41939, 54400, 81875
324608, 76704, 45445, 56014, 82180
325632, 74854, 43834, 56301, 84616
326656, 77186, 45127, 57957, 84903
327680, 77427, 47658, 56549, 85175
328704, 77668, 47557, 58338, 85475
329728, 75797, 47984, 56981, 85707
330752, 76039, 47591, 56990, 86018
331776, 80608, 49198, 58752, 86266
332800, 80862, 51157, 60734, 86535
333824, 78880, 45977, 59147, 86807
334848, 79121, 49272, 59361, 87058
335872, 79362, 50113, 59552, 85047
336896, 77444, 49866, 59816, 85281
337920, 77683, 48673, 58392, 85526
338944, 80085, 51028, 60028, 85766
339968, 78167, 45488, 58679, 86035
340992, 76326, 48351, 57280, 86313
342016, 78626, 45337, 59030, 86561
343040, 81056, 50564, 60860, 86848
344064, 81297, 50156, 61002, 87114
345088, 81538, 49810, 61218, 89754
346112, 79569, 50806, 59767, 90011
347136, 82020, 49338, 63333, 92733
348160, 84610, 52883, 63539, 93018
349184, 82502, 46279, 60296, 90836
350208, 82743, 51526, 62143, 91047
351232, 82991, 52122, 62353, 91334
352256, 85595, 53662, 64240, 94180
353280, 85849, 54110, 64497, 91854
354304, 81455, 52251, 61182, 89689
355328, 86326, 55325, 64878, 89973
356352, 84196, 51266, 63231, 90192
357376, 86834, 54805, 65204, 90475
358400, 82398, 48141, 62004, 90736
359424, 82615, 48353, 62149, 91055
360448, 87596, 51049, 65775, 91259
361472, 80914, 50196, 60801, 91528
362496, 83316, 48652, 62590, 94293
363520, 85890, 50558, 64476, 94568
364544, 86131, 54347, 64609, 94852
365568, 86372, 50598, 64888, 95091
366592, 86613, 50580, 65070, 95381
367616, 86854, 54935, 65298, 95650
368640, 87095, 50715, 65422, 95901
369664, 89820, 52342, 67516, 96252
370688, 87584, 51683, 65852, 93837
371712, 83197, 48510, 62542, 94115
372736, 83422, 51340, 62634, 94396
373760, 85903, 52532, 64564, 94656
374784, 83883, 52724, 62994, 94919
375808, 84119, 50619, 63178, 95135
376832, 84344, 53356, 63290, 95419
377856, 84580, 48842, 65286, 95726
378880, 84805, 53120, 63698, 95986
379904, 89760, 57516, 67450, 98814
380928, 90001, 57435, 67626, 99062
381952, 90242, 56526, 67775, 99416
382976, 90483, 55874, 68009, 99570
384000, 93314, 58229, 70079, 99905
385024, 90965, 56910, 68383, 100214
386048, 91206, 54309, 70517, 100437
387072, 91454, 58369, 68634, 98015
388096, 91695, 55352, 67021, 98302
389120, 91936, 56718, 69060, 98553
390144, 92177, 57825, 69289, 98804
391168, 89917, 56304, 67529, 99097
392192, 90134, 56627, 67728, 99289
393216, 88010, 54509, 66111, 99567
394240, 93141, 58792, 69994, 99871
395264, 96046, 58616, 72107, 102825
396288, 93623, 54712, 70405, 103106
397312, 96554, 59502, 72588, 103384
398336, 94112, 54854, 70742, 103635
399360, 97031, 60937, 72899, 103934
400384, 94594, 55188, 71100, 104179
401408, 94835, 52944, 71329, 104439
402432, 95076, 54224, 73558, 104708
403456, 95317, 59957, 71706, 102180
404480, 92963, 61376, 71839, 102470
405504, 95799, 58365, 72006, 102701
406528, 96047, 56449, 72200, 102979
