--;0,.555
--;1,.297
--;2,.117
1B;0,.953
1B;1,.573
1B;2,.251
2B;0,1.189
2B;1,.725
2B;2,.344
3B;0,1.482
3B;1,.983
3B;2,.387
"1B,2B;0",1.573
"1B,2B;1",.971
"1B,2B;2",.466
"1B,3B;0",1.904
"1B,3B;1",1.243
"1B,3B;2",.538
"2B,3B;0",2.052
"2B,3B;1",1.467
"2B,3B;2",.634
"1B,2B,3B;0",2.417
"1B,2B,3B;1",1.650
"1B,2B,3B;2",.815
